,temp_air,ghi,dni,dhi,wind_speed
2021-01-01 00:00:00,18.95,0.0,0.0,0.0,1.83
2021-01-01 01:00:00,18.54,0.0,0.0,0.0,1.66
2021-01-01 02:00:00,18.22,0.0,0.0,0.0,1.49
2021-01-01 03:00:00,17.68,0.0,0.0,0.0,1.17
2021-01-01 04:00:00,17.38,0.0,0.0,0.0,1.44
2021-01-01 05:00:00,16.63,0.0,0.0,0.0,1.34
2021-01-01 06:00:00,17.03,0.0,0.0,0.0,1.11
2021-01-01 07:00:00,17.96,164.88,668.41,32.42,1.77
2021-01-01 08:00:00,19.31,407.88,870.63,43.66,3.17
2021-01-01 09:00:00,20.02,642.34,957.98,49.0,4.64
2021-01-01 10:00:00,20.79,843.22,1004.56,51.94,5.88
2021-01-01 11:00:00,21.26,993.16,1030.43,53.58,6.49
2021-01-01 12:00:00,21.57,1081.64,1044.73,54.4,7.02
2021-01-01 13:00:00,22.28,1100.34,1048.83,54.52,7.06
2021-01-01 14:00:00,23.06,1047.6,1043.13,54.02,7.11
2021-01-01 15:00:00,23.37,926.98,1025.48,52.8,7.04
2021-01-01 16:00:00,22.91,748.34,991.72,50.52,6.77
2021-01-01 17:00:00,22.6,526.6,929.58,46.58,6.29
2021-01-01 18:00:00,21.92,280.74,796.99,38.96,5.53
2021-01-01 19:00:00,20.52,50.14,398.46,18.6,4.5
2021-01-01 20:00:00,19.65,0.0,0.0,0.0,3.28
2021-01-01 21:00:00,19.3,0.0,0.0,0.0,1.96
2021-01-01 22:00:00,19.34,0.0,0.0,0.0,1.05
2021-01-01 23:00:00,19.11,0.0,0.0,0.0,0.68
2021-01-02 00:00:00,18.55,0.0,0.0,0.0,0.72
2021-01-02 01:00:00,18.01,0.0,0.0,0.0,0.96
2021-01-02 02:00:00,17.43,0.0,0.0,0.0,1.04
2021-01-02 03:00:00,17.2,0.0,0.0,0.0,1.11
2021-01-02 04:00:00,17.22,0.0,0.0,0.0,1.26
2021-01-02 05:00:00,16.75,0.0,0.0,0.0,1.49
2021-01-02 06:00:00,17.44,0.0,0.0,0.0,1.58
2021-01-02 07:00:00,18.72,49.8,6.84,48.46,1.14
2021-01-02 08:00:00,20.22,414.94,891.23,43.94,2.09
2021-01-02 09:00:00,21.45,654.6,979.92,49.28,4.01
2021-01-02 10:00:00,22.06,860.84,1028.09,52.24,5.17
2021-01-02 11:00:00,22.44,1015.94,1055.95,53.92,5.97
2021-01-02 12:00:00,21.6,1107.24,1070.74,54.74,6.58
2021-01-02 13:00:00,21.57,1127.62,1075.64,54.88,6.69
2021-01-02 14:00:00,21.38,1075.26,1071.11,54.4,6.67
2021-01-02 15:00:00,21.24,952.78,1054.15,53.2,6.57
2021-01-02 16:00:00,21.2,771.08,1021.56,51.0,6.38
2021-01-02 17:00:00,21.01,544.84,961.39,47.1,5.89
2021-01-02 18:00:00,20.51,289.74,821.6,39.4,5.38
2021-01-02 19:00:00,19.4,52.72,419.3,19.02,3.96
2021-01-02 20:00:00,18.84,0.0,0.0,0.0,2.44
2021-01-02 21:00:00,18.28,0.0,0.0,0.0,1.26
2021-01-02 22:00:00,18.12,0.0,0.0,0.0,1.07
2021-01-02 23:00:00,17.93,0.0,0.0,0.0,1.13
2021-01-03 00:00:00,17.59,0.0,0.0,0.0,1.16
2021-01-03 01:00:00,17.37,0.0,0.0,0.0,1.57
2021-01-03 02:00:00,17.13,0.0,0.0,0.0,1.78
2021-01-03 03:00:00,17.05,0.0,0.0,0.0,2.0
2021-01-03 04:00:00,17.37,0.0,0.0,0.0,2.2
2021-01-03 05:00:00,17.35,0.0,0.0,0.0,2.29
2021-01-03 06:00:00,17.67,0.0,0.0,0.0,2.23
2021-01-03 07:00:00,18.94,42.74,6.92,41.4,1.49
2021-01-03 08:00:00,20.66,122.66,8.98,118.94,1.41
2021-01-03 09:00:00,22.16,222.02,9.87,215.94,3.29
2021-01-03 10:00:00,22.91,500.92,16.43,488.02,4.38
2021-01-03 11:00:00,23.17,1021.42,1062.66,54.06,5.18
2021-01-03 12:00:00,22.76,903.04,87.68,816.88,5.71
2021-01-03 13:00:00,22.74,1130.8,1078.54,54.98,5.88
2021-01-03 14:00:00,22.76,1076.64,1071.74,54.5,5.84
2021-01-03 15:00:00,22.29,954.04,1054.41,53.28,5.75
2021-01-03 16:00:00,21.78,772.18,1021.4,51.08,5.58
2021-01-03 17:00:00,21.0,545.7,960.45,47.16,5.14
2021-01-03 18:00:00,20.34,294.26,832.08,39.62,4.52
2021-01-03 19:00:00,19.69,55.66,443.89,19.52,3.34
2021-01-03 20:00:00,19.29,0.0,0.0,0.0,2.12
2021-01-03 21:00:00,18.88,0.0,0.0,0.0,1.3
2021-01-03 22:00:00,18.64,0.0,0.0,0.0,1.11
2021-01-03 23:00:00,18.48,0.0,0.0,0.0,1.15
2021-01-04 00:00:00,18.1,0.0,0.0,0.0,1.25
2021-01-04 01:00:00,17.73,0.0,0.0,0.0,1.48
2021-01-04 02:00:00,17.7,0.0,0.0,0.0,1.95
2021-01-04 03:00:00,17.78,0.0,0.0,0.0,2.06
2021-01-04 04:00:00,18.34,0.0,0.0,0.0,2.39
2021-01-04 05:00:00,18.49,0.0,0.0,0.0,2.13
2021-01-04 06:00:00,18.72,0.0,0.0,0.0,2.13
2021-01-04 07:00:00,19.66,38.26,7.0,36.92,2.14
2021-01-04 08:00:00,20.81,198.02,9.07,194.28,2.67
2021-01-04 09:00:00,21.96,659.22,992.51,49.4,3.91
2021-01-04 10:00:00,22.57,654.66,35.2,627.06,4.94
2021-01-04 11:00:00,22.69,803.04,61.22,747.36,5.58
2021-01-04 12:00:00,23.24,980.78,119.53,863.36,5.91
2021-01-04 13:00:00,23.46,1050.38,154.44,896.3,5.91
2021-01-04 14:00:00,23.13,1079.68,1074.35,54.44,5.88
2021-01-04 15:00:00,23.07,611.46,26.92,588.44,5.82
2021-01-04 16:00:00,22.37,335.2,10.24,327.96,5.62
2021-01-04 17:00:00,21.88,258.48,9.61,253.48,5.19
2021-01-04 18:00:00,21.42,120.5,8.33,117.94,4.37
2021-01-04 19:00:00,20.68,56.92,450.18,19.72,3.12
2021-01-04 20:00:00,20.33,0.0,0.0,0.0,1.73
2021-01-04 21:00:00,19.9,0.0,0.0,0.0,0.98
2021-01-04 22:00:00,19.25,0.0,0.0,0.0,1.11
2021-01-04 23:00:00,18.66,0.0,0.0,0.0,1.4
2021-01-05 00:00:00,17.92,0.0,0.0,0.0,1.66
2021-01-05 01:00:00,17.5,0.0,0.0,0.0,1.64
2021-01-05 02:00:00,17.06,0.0,0.0,0.0,1.56
2021-01-05 03:00:00,17.4,0.0,0.0,0.0,1.71
2021-01-05 04:00:00,18.2,0.0,0.0,0.0,1.89
2021-01-05 05:00:00,18.32,0.0,0.0,0.0,2.02
2021-01-05 06:00:00,18.54,0.0,0.0,0.0,1.67
2021-01-05 07:00:00,19.42,43.16,6.87,41.86,1.76
2021-01-05 08:00:00,20.65,167.54,8.97,163.86,2.63
2021-01-05 09:00:00,21.47,341.66,9.86,335.62,3.89
2021-01-05 10:00:00,22.04,860.28,1032.18,52.26,4.97
2021-01-05 11:00:00,22.25,1015.14,1057.74,53.94,5.45
2021-01-05 12:00:00,23.21,1106.54,1070.92,54.8,5.79
2021-01-05 13:00:00,23.51,1126.68,1074.06,54.96,6.0
2021-01-05 14:00:00,23.05,1073.96,1067.67,54.48,6.3
2021-01-05 15:00:00,22.8,952.84,1050.8,53.26,6.33
2021-01-05 16:00:00,22.35,772.4,1018.35,51.06,6.1
2021-01-05 17:00:00,22.09,274.3,9.59,269.3,5.63
2021-01-05 18:00:00,21.8,296.4,832.55,39.68,4.71
2021-01-05 19:00:00,20.95,57.44,449.58,19.82,3.29
2021-01-05 20:00:00,20.6,0.0,0.0,0.0,1.74
2021-01-05 21:00:00,20.28,0.0,0.0,0.0,0.67
2021-01-05 22:00:00,19.44,0.0,0.0,0.0,0.96
2021-01-05 23:00:00,18.52,0.0,0.0,0.0,1.49
2021-01-06 00:00:00,17.58,0.0,0.0,0.0,1.78
2021-01-06 01:00:00,16.96,0.0,0.0,0.0,2.0
2021-01-06 02:00:00,16.67,0.0,0.0,0.0,2.05
2021-01-06 03:00:00,17.02,0.0,0.0,0.0,2.11
2021-01-06 04:00:00,17.5,0.0,0.0,0.0,2.02
2021-01-06 05:00:00,17.59,0.0,0.0,0.0,1.78
2021-01-06 06:00:00,17.82,0.0,0.0,0.0,1.66
2021-01-06 07:00:00,18.99,56.22,6.74,54.96,1.29
2021-01-06 08:00:00,20.19,406.06,887.27,43.76,1.75
2021-01-06 09:00:00,21.85,646.16,976.87,49.18,3.35
2021-01-06 10:00:00,23.03,852.72,1024.36,52.16,4.67
2021-01-06 11:00:00,22.84,1008.04,1050.88,53.84,5.39
2021-01-06 12:00:00,23.52,728.96,41.74,687.98,5.86
2021-01-06 13:00:00,23.16,875.42,77.28,798.3,6.14
2021-01-06 14:00:00,22.42,1066.68,1059.48,54.42,6.41
2021-01-06 15:00:00,21.8,944.98,1040.6,53.2,6.57
2021-01-06 16:00:00,21.35,527.84,20.33,513.42,6.39
2021-01-06 17:00:00,21.08,364.62,10.41,359.18,5.89
2021-01-06 18:00:00,20.74,293.7,820.96,39.6,5.24
2021-01-06 19:00:00,20.32,57.46,444.25,19.9,3.97
2021-01-06 20:00:00,20.22,0.0,0.0,0.0,2.33
2021-01-06 21:00:00,20.0,0.0,0.0,0.0,1.19
2021-01-06 22:00:00,19.56,0.0,0.0,0.0,0.73
2021-01-06 23:00:00,19.19,0.0,0.0,0.0,1.15
2021-01-07 00:00:00,18.81,0.0,0.0,0.0,1.4
2021-01-07 01:00:00,18.52,0.0,0.0,0.0,1.66
2021-01-07 02:00:00,18.48,0.0,0.0,0.0,1.69
2021-01-07 03:00:00,18.29,0.0,0.0,0.0,1.38
2021-01-07 04:00:00,18.2,0.0,0.0,0.0,1.22
2021-01-07 05:00:00,17.65,0.0,0.0,0.0,1.31
2021-01-07 06:00:00,17.49,0.0,0.0,0.0,1.5
2021-01-07 07:00:00,18.49,60.1,6.61,58.88,1.39
2021-01-07 08:00:00,19.42,399.66,876.29,43.66,2.29
2021-01-07 09:00:00,20.57,639.56,968.64,49.22,3.96
2021-01-07 10:00:00,21.57,846.94,1018.38,52.28,5.16
2021-01-07 11:00:00,21.35,1003.92,1047.02,54.0,5.94
2021-01-07 12:00:00,23.5,1094.62,1059.33,54.86,6.1
2021-01-07 13:00:00,23.95,1114.4,1061.35,55.02,6.15
2021-01-07 14:00:00,22.54,1061.64,1053.49,54.56,6.08
2021-01-07 15:00:00,21.95,941.1,1034.91,53.36,5.95
2021-01-07 16:00:00,21.0,761.78,1000.32,51.12,5.8
2021-01-07 17:00:00,20.35,538.56,938.0,47.2,5.34
2021-01-07 18:00:00,19.91,128.8,8.11,126.28,4.79
2021-01-07 19:00:00,19.54,57.1,434.81,19.96,3.65
2021-01-07 20:00:00,19.25,0.0,0.0,0.0,2.52
2021-01-07 21:00:00,19.13,0.0,0.0,0.0,0.97
2021-01-07 22:00:00,19.2,0.0,0.0,0.0,0.44
2021-01-07 23:00:00,19.1,0.0,0.0,0.0,0.55
2021-01-08 00:00:00,18.91,0.0,0.0,0.0,0.83
2021-01-08 01:00:00,18.61,0.0,0.0,0.0,1.18
2021-01-08 02:00:00,18.36,0.0,0.0,0.0,1.29
2021-01-08 03:00:00,18.26,0.0,0.0,0.0,1.37
2021-01-08 04:00:00,18.82,0.0,0.0,0.0,1.5
2021-01-08 05:00:00,19.04,0.0,0.0,0.0,1.87
2021-01-08 06:00:00,19.7,0.0,0.0,0.0,1.85
2021-01-08 07:00:00,20.89,28.82,6.47,27.64,0.88
2021-01-08 08:00:00,22.15,195.84,8.66,192.34,0.43
2021-01-08 09:00:00,23.42,324.8,9.58,318.98,2.44
2021-01-08 10:00:00,24.58,454.24,12.78,444.28,3.68
2021-01-08 11:00:00,24.67,285.36,10.33,276.0,4.41
2021-01-08 12:00:00,25.55,918.02,92.55,827.2,4.94
2021-01-08 13:00:00,25.36,1125.58,202.2,923.72,5.42
2021-01-08 14:00:00,24.52,1118.06,202.55,924.32,5.76
2021-01-08 15:00:00,24.25,840.74,74.19,777.04,6.0
2021-01-08 16:00:00,23.59,579.72,26.23,561.06,6.1
2021-01-08 17:00:00,22.9,319.56,9.3,314.68,6.08
2021-01-08 18:00:00,21.94,103.74,8.09,101.22,5.8
2021-01-08 19:00:00,21.36,57.26,431.35,20.04,4.51
2021-01-08 20:00:00,21.03,0.0,0.0,0.0,3.28
2021-01-08 21:00:00,20.62,0.0,0.0,0.0,2.45
2021-01-08 22:00:00,20.13,0.0,0.0,0.0,1.64
2021-01-08 23:00:00,19.62,0.0,0.0,0.0,1.33
2021-01-09 00:00:00,19.29,0.0,0.0,0.0,1.04
2021-01-09 01:00:00,19.48,0.0,0.0,0.0,1.03
2021-01-09 02:00:00,19.15,0.0,0.0,0.0,1.04
2021-01-09 03:00:00,18.61,0.0,0.0,0.0,1.19
2021-01-09 04:00:00,18.4,0.0,0.0,0.0,1.16
2021-01-09 05:00:00,18.82,0.0,0.0,0.0,1.33
2021-01-09 06:00:00,19.74,0.0,0.0,0.0,1.08
2021-01-09 07:00:00,19.81,54.02,6.33,52.88,1.68
2021-01-09 08:00:00,20.13,145.2,8.55,141.76,1.85
2021-01-09 09:00:00,20.52,366.26,9.5,360.5,3.54
2021-01-09 10:00:00,21.44,509.76,17.2,496.38,4.99
2021-01-09 11:00:00,22.33,847.24,73.25,780.9,5.47
2021-01-09 12:00:00,24.08,907.02,88.46,820.24,6.02
2021-01-09 13:00:00,24.91,1096.1,1043.02,54.7,6.14
2021-01-09 14:00:00,24.48,1031.0,146.27,891.02,6.45
2021-01-09 15:00:00,24.32,744.66,49.1,702.46,6.41
2021-01-09 16:00:00,23.65,751.72,983.92,50.78,6.19
2021-01-09 17:00:00,23.49,531.6,921.93,46.88,5.69
2021-01-09 18:00:00,22.76,91.48,8.0,88.98,5.26
2021-01-09 19:00:00,21.82,56.96,424.23,20.06,4.32
2021-01-09 20:00:00,21.36,0.0,0.0,0.0,3.26
2021-01-09 21:00:00,20.88,0.0,0.0,0.0,2.5
2021-01-09 22:00:00,20.46,0.0,0.0,0.0,2.02
2021-01-09 23:00:00,20.15,0.0,0.0,0.0,1.83
2021-01-10 00:00:00,20.12,0.0,0.0,0.0,1.86
2021-01-10 01:00:00,19.9,0.0,0.0,0.0,1.74
2021-01-10 02:00:00,19.96,0.0,0.0,0.0,1.37
2021-01-10 03:00:00,19.52,0.0,0.0,0.0,1.26
2021-01-10 04:00:00,19.09,0.0,0.0,0.0,1.28
2021-01-10 05:00:00,18.43,0.0,0.0,0.0,1.34
2021-01-10 06:00:00,18.8,0.0,0.0,0.0,1.19
2021-01-10 07:00:00,19.88,47.5,6.3,46.38,0.96
2021-01-10 08:00:00,20.91,118.7,8.55,115.28,2.35
2021-01-10 09:00:00,22.65,183.9,9.46,178.18,3.94
2021-01-10 10:00:00,23.78,456.18,12.93,446.14,5.05
2021-01-10 11:00:00,23.53,861.18,77.62,790.94,5.64
2021-01-10 12:00:00,24.31,1072.48,1038.03,54.5,5.84
2021-01-10 13:00:00,24.59,1050.46,152.82,897.86,6.03
2021-01-10 14:00:00,24.07,1044.56,1034.41,54.14,6.05
2021-01-10 15:00:00,24.0,926.94,1016.03,52.94,5.87
2021-01-10 16:00:00,23.53,513.44,18.73,500.08,5.55
2021-01-10 17:00:00,23.33,316.08,9.19,311.24,5.19
2021-01-10 18:00:00,23.03,122.46,7.91,119.98,4.54
2021-01-10 19:00:00,22.45,56.86,418.81,20.14,3.9
2021-01-10 20:00:00,22.3,0.0,0.0,0.0,3.02
2021-01-10 21:00:00,22.0,0.0,0.0,0.0,2.12
2021-01-10 22:00:00,21.89,0.0,0.0,0.0,1.42
2021-01-10 23:00:00,21.57,0.0,0.0,0.0,1.22
2021-01-11 00:00:00,21.35,0.0,0.0,0.0,1.16
2021-01-11 01:00:00,21.02,0.0,0.0,0.0,1.26
2021-01-11 02:00:00,21.06,0.0,0.0,0.0,1.08
2021-01-11 03:00:00,20.83,0.0,0.0,0.0,1.24
2021-01-11 04:00:00,21.07,0.0,0.0,0.0,1.1
2021-01-11 05:00:00,20.67,0.0,0.0,0.0,1.32
2021-01-11 06:00:00,20.67,0.0,0.0,0.0,1.18
2021-01-11 07:00:00,21.18,141.0,629.77,30.56,1.35
2021-01-11 08:00:00,22.21,384.3,857.01,42.98,1.96
2021-01-11 09:00:00,23.66,621.44,949.93,48.7,3.1
2021-01-11 10:00:00,24.26,826.32,998.64,51.88,4.15
2021-01-11 11:00:00,23.66,980.78,1025.29,53.68,4.95
2021-01-11 12:00:00,24.53,1073.46,1039.28,54.54,5.51
2021-01-11 13:00:00,24.15,1096.1,1042.7,54.74,6.04
2021-01-11 14:00:00,22.93,1046.84,1036.13,54.26,6.45
2021-01-11 15:00:00,22.5,930.42,1019.07,53.08,6.57
2021-01-11 16:00:00,21.68,755.28,986.41,50.88,6.38
2021-01-11 17:00:00,21.41,371.74,10.73,366.08,5.84
2021-01-11 18:00:00,20.69,290.42,798.58,39.54,5.14
2021-01-11 19:00:00,19.79,57.5,422.91,20.2,3.96
2021-01-11 20:00:00,19.33,0.0,0.0,0.0,2.64
2021-01-11 21:00:00,18.9,0.0,0.0,0.0,1.68
2021-01-11 22:00:00,18.84,0.0,0.0,0.0,0.93
2021-01-11 23:00:00,18.48,0.0,0.0,0.0,0.97
2021-01-12 00:00:00,18.79,0.0,0.0,0.0,0.84
2021-01-12 01:00:00,18.68,0.0,0.0,0.0,1.1
2021-01-12 02:00:00,18.72,0.0,0.0,0.0,1.2
2021-01-12 03:00:00,18.76,0.0,0.0,0.0,1.43
2021-01-12 04:00:00,19.21,0.0,0.0,0.0,1.53
2021-01-12 05:00:00,19.27,0.0,0.0,0.0,1.85
2021-01-12 06:00:00,19.83,0.0,0.0,0.0,1.76
2021-01-12 07:00:00,21.4,139.82,631.59,30.58,1.39
2021-01-12 08:00:00,23.17,384.38,861.21,43.18,1.6
2021-01-12 09:00:00,24.61,623.94,956.36,48.92,2.94
2021-01-12 10:00:00,24.72,831.6,1006.79,52.06,3.95
2021-01-12 11:00:00,24.65,989.28,1035.28,53.84,4.51
2021-01-12 12:00:00,23.88,1084.44,1050.57,54.74,5.09
2021-01-12 13:00:00,23.95,1109.3,1055.58,54.94,5.41
2021-01-12 14:00:00,23.38,1061.6,1050.77,54.52,5.67
2021-01-12 15:00:00,23.17,945.14,1034.99,53.36,5.94
2021-01-12 16:00:00,22.7,768.92,1003.89,51.18,5.8
2021-01-12 17:00:00,22.28,546.86,945.05,47.32,5.53
2021-01-12 18:00:00,21.62,296.2,813.88,39.84,5.12
2021-01-12 19:00:00,20.99,59.06,435.53,20.42,4.13
2021-01-12 20:00:00,20.75,0.0,0.0,0.0,2.67
2021-01-12 21:00:00,20.55,0.0,0.0,0.0,1.65
2021-01-12 22:00:00,20.35,0.0,0.0,0.0,1.18
2021-01-12 23:00:00,20.01,0.0,0.0,0.0,1.09
2021-01-13 00:00:00,19.92,0.0,0.0,0.0,0.97
2021-01-13 01:00:00,19.4,0.0,0.0,0.0,1.31
2021-01-13 02:00:00,19.14,0.0,0.0,0.0,1.56
2021-01-13 03:00:00,18.89,0.0,0.0,0.0,1.68
2021-01-13 04:00:00,18.69,0.0,0.0,0.0,1.8
2021-01-13 05:00:00,18.42,0.0,0.0,0.0,1.96
2021-01-13 06:00:00,18.98,0.0,0.0,0.0,1.87
2021-01-13 07:00:00,20.57,40.32,6.44,39.22,1.18
2021-01-13 08:00:00,21.9,118.02,8.78,114.56,2.03
2021-01-13 09:00:00,22.98,281.46,9.74,275.62,3.49
2021-01-13 10:00:00,23.72,845.2,1025.66,52.3,4.66
2021-01-13 11:00:00,24.24,1005.8,1054.17,54.08,4.96
2021-01-13 12:00:00,24.37,1101.86,1068.46,54.96,5.1
2021-01-13 13:00:00,24.97,1126.36,1072.34,55.14,5.31
2021-01-13 14:00:00,24.78,1077.46,1066.65,54.68,5.43
2021-01-13 15:00:00,24.46,957.3,1048.19,53.5,5.59
2021-01-13 16:00:00,23.91,777.34,1014.26,51.32,5.41
2021-01-13 17:00:00,23.13,551.92,953.02,47.46,5.07
2021-01-13 18:00:00,22.48,301.38,827.82,40.08,4.36
2021-01-13 19:00:00,21.62,61.42,455.84,20.74,3.37
2021-01-13 20:00:00,21.49,0.0,0.0,0.0,2.24
2021-01-13 21:00:00,21.18,0.0,0.0,0.0,1.26
2021-01-13 22:00:00,20.96,0.0,0.0,0.0,0.72
2021-01-13 23:00:00,20.63,0.0,0.0,0.0,0.76
2021-01-14 00:00:00,20.23,0.0,0.0,0.0,0.82
2021-01-14 01:00:00,19.94,0.0,0.0,0.0,1.27
2021-01-14 02:00:00,19.75,0.0,0.0,0.0,1.44
2021-01-14 03:00:00,19.49,0.0,0.0,0.0,1.54
2021-01-14 04:00:00,19.1,0.0,0.0,0.0,1.44
2021-01-14 05:00:00,18.52,0.0,0.0,0.0,1.66
2021-01-14 06:00:00,18.99,0.0,0.0,0.0,1.73
2021-01-14 07:00:00,20.45,138.5,642.0,30.44,0.96
2021-01-14 08:00:00,21.47,387.04,876.49,43.3,1.99
2021-01-14 09:00:00,22.41,630.56,972.34,49.06,3.49
2021-01-14 10:00:00,23.46,842.2,1023.37,52.2,4.52
2021-01-14 11:00:00,23.43,1003.0,1052.08,53.96,4.87
2021-01-14 12:00:00,23.89,1098.04,1065.01,54.82,5.1
2021-01-14 13:00:00,24.34,1121.6,1067.61,55.0,5.36
2021-01-14 14:00:00,24.08,1071.86,1060.54,54.52,5.53
2021-01-14 15:00:00,23.57,953.24,1042.84,53.32,5.7
2021-01-14 16:00:00,23.03,774.56,1009.59,51.14,5.6
2021-01-14 17:00:00,22.57,550.44,949.24,47.28,5.28
2021-01-14 18:00:00,22.02,300.82,824.94,40.02,4.69
2021-01-14 19:00:00,21.19,61.48,454.07,20.8,3.79
2021-01-14 20:00:00,20.93,0.0,0.0,0.0,2.51
2021-01-14 21:00:00,20.58,0.0,0.0,0.0,1.6
2021-01-14 22:00:00,20.26,0.0,0.0,0.0,1.1
2021-01-14 23:00:00,19.88,0.0,0.0,0.0,1.03
2021-01-15 00:00:00,19.62,0.0,0.0,0.0,1.05
2021-01-15 01:00:00,19.5,0.0,0.0,0.0,1.28
2021-01-15 02:00:00,19.16,0.0,0.0,0.0,1.52
2021-01-15 03:00:00,18.94,0.0,0.0,0.0,1.63
2021-01-15 04:00:00,18.17,0.0,0.0,0.0,1.44
2021-01-15 05:00:00,17.79,0.0,0.0,0.0,1.69
2021-01-15 06:00:00,18.33,0.0,0.0,0.0,1.73
2021-01-15 07:00:00,20.01,136.16,639.15,30.12,0.82
2021-01-15 08:00:00,21.41,385.0,876.42,43.12,1.74
2021-01-15 09:00:00,22.93,628.46,971.75,48.94,2.92
2021-01-15 10:00:00,23.38,839.76,1021.93,52.12,3.88
2021-01-15 11:00:00,23.21,1000.0,1049.61,53.9,4.47
2021-01-15 12:00:00,23.8,1095.16,1062.4,54.8,4.64
2021-01-15 13:00:00,24.6,1118.88,1064.78,55.0,4.92
2021-01-15 14:00:00,24.84,1069.38,1057.46,54.58,5.12
2021-01-15 15:00:00,24.59,951.08,1039.58,53.42,5.26
2021-01-15 16:00:00,24.08,772.58,1005.84,51.24,5.06
2021-01-15 17:00:00,23.42,548.84,944.94,47.4,4.92
2021-01-15 18:00:00,22.67,300.5,822.57,40.04,4.5
2021-01-15 19:00:00,21.93,61.58,454.3,20.8,3.8
2021-01-15 20:00:00,21.6,0.0,0.0,0.0,2.64
2021-01-15 21:00:00,21.25,0.0,0.0,0.0,1.64
2021-01-15 22:00:00,20.85,0.0,0.0,0.0,0.97
2021-01-15 23:00:00,20.52,0.0,0.0,0.0,0.85
2021-01-16 00:00:00,20.22,0.0,0.0,0.0,1.05
2021-01-16 01:00:00,19.81,0.0,0.0,0.0,1.56
2021-01-16 02:00:00,19.38,0.0,0.0,0.0,1.83
2021-01-16 03:00:00,19.4,0.0,0.0,0.0,2.24
2021-01-16 04:00:00,19.17,0.0,0.0,0.0,2.23
2021-01-16 05:00:00,18.69,0.0,0.0,0.0,2.7
2021-01-16 06:00:00,18.52,0.0,0.0,0.0,2.55
2021-01-16 07:00:00,20.5,133.74,633.47,30.06,1.3
2021-01-16 08:00:00,22.48,382.46,874.28,43.24,0.99
2021-01-16 09:00:00,23.61,626.74,971.08,49.12,2.06
2021-01-16 10:00:00,24.56,839.2,1022.42,52.32,3.44
2021-01-16 11:00:00,25.2,1001.1,1051.45,54.14,4.18
2021-01-16 12:00:00,25.74,1098.2,1065.58,55.02,4.62
2021-01-16 13:00:00,27.15,1123.78,1069.41,55.2,5.18
2021-01-16 14:00:00,26.13,1075.36,1063.09,54.74,5.42
2021-01-16 15:00:00,25.52,957.48,1046.06,53.58,5.71
2021-01-16 16:00:00,24.83,778.94,1013.48,51.38,5.65
2021-01-16 17:00:00,24.21,554.38,954.05,47.54,5.46
2021-01-16 18:00:00,23.59,303.14,829.1,40.2,5.04
2021-01-16 19:00:00,22.92,62.2,458.99,20.92,4.33
2021-01-16 20:00:00,22.7,0.0,0.0,0.0,3.14
2021-01-16 21:00:00,22.21,0.0,0.0,0.0,2.16
2021-01-16 22:00:00,21.52,0.0,0.0,0.0,1.63
2021-01-16 23:00:00,21.04,0.0,0.0,0.0,1.4
2021-01-17 00:00:00,20.36,0.0,0.0,0.0,1.31
2021-01-17 01:00:00,19.46,0.0,0.0,0.0,1.55
2021-01-17 02:00:00,19.13,0.0,0.0,0.0,1.38
2021-01-17 03:00:00,18.77,0.0,0.0,0.0,1.58
2021-01-17 04:00:00,18.45,0.0,0.0,0.0,1.46
2021-01-17 05:00:00,17.72,0.0,0.0,0.0,2.11
2021-01-17 06:00:00,18.7,0.0,0.0,0.0,1.73
2021-01-17 07:00:00,20.96,132.2,634.88,29.82,0.58
2021-01-17 08:00:00,22.58,382.38,878.6,43.18,1.38
2021-01-17 09:00:00,23.57,629.0,977.61,49.14,2.71
2021-01-17 10:00:00,24.43,843.9,1030.09,52.38,4.47
2021-01-17 11:00:00,24.26,1008.4,1060.32,54.18,5.29
2021-01-17 12:00:00,25.55,1105.6,1073.48,55.04,5.56
2021-01-17 13:00:00,26.23,1130.82,1076.36,55.22,6.05
2021-01-17 14:00:00,25.46,1081.96,1069.56,54.76,6.28
2021-01-17 15:00:00,25.17,963.16,1051.99,53.58,6.46
2021-01-17 16:00:00,24.44,783.58,1019.05,51.4,6.35
2021-01-17 17:00:00,23.69,557.68,959.16,47.56,6.19
2021-01-17 18:00:00,23.12,305.36,835.17,40.22,5.67
2021-01-17 19:00:00,22.47,62.86,465.2,20.94,4.7
2021-01-17 20:00:00,22.36,0.0,0.0,0.0,3.21
2021-01-17 21:00:00,21.95,0.0,0.0,0.0,2.17
2021-01-17 22:00:00,21.02,0.0,0.0,0.0,1.8
2021-01-17 23:00:00,20.29,0.0,0.0,0.0,1.54
2021-01-18 00:00:00,19.74,0.0,0.0,0.0,1.52
2021-01-18 01:00:00,19.04,0.0,0.0,0.0,1.44
2021-01-18 02:00:00,18.73,0.0,0.0,0.0,1.5
2021-01-18 03:00:00,18.4,0.0,0.0,0.0,1.56
2021-01-18 04:00:00,17.76,0.0,0.0,0.0,1.5
2021-01-18 05:00:00,16.74,0.0,0.0,0.0,1.64
2021-01-18 06:00:00,17.38,0.0,0.0,0.0,1.57
2021-01-18 07:00:00,19.37,130.8,636.33,29.72,0.84
2021-01-18 08:00:00,20.57,382.12,882.3,43.2,1.91
2021-01-18 09:00:00,21.52,629.58,981.18,49.12,3.22
2021-01-18 10:00:00,22.22,844.88,1032.95,52.32,4.57
